name,url,generics,brands
NEMUS Pharmaceutical Pvt. Ltd.,https://medex.com.bd/companies/327/nemus-pharmaceutical-pvt-ltd/brands,1,1
Neoventis Pharmaceuticals Ltd.,https://medex.com.bd/companies/542/neoventis-pharmaceuticals-ltd/brands,1,1
Nevian Lifescience PLC,https://medex.com.bd/companies/51/nevian-lifescience-plc,37,74
Nipa Pharmaceuticals Ltd.,https://medex.com.bd/companies/53/nipa-pharmaceuticals-ltd/brands,78,106
NIPRO,https://medex.com.bd/companies/489/nipro/brands,1,2
NIPRO JMI Pharma Ltd.,https://medex.com.bd/companies/48/nipro-jmi-pharma-ltd,123,229
Novatek Pharmaceuticals Ltd.,https://medex.com.bd/companies/124/novatek-pharmaceuticals-ltd/brands,75,119
Novelta Bestway Pharma Ltd.,https://medex.com.bd/companies/49/novelta-bestway-pharma-ltd/brands,28,42
Novo Healthcare and Pharma Ltd.,https://medex.com.bd/companies/133/novo-healthcare-and-pharma-ltd/brands,64,100
Novo Nordisk Pharma (Pvt.) Ltd,https://medex.com.bd/companies/186/novo-nordisk-pharma-pvt-ltd,13,18
Novus Pharmaceuticals Ltd.,https://medex.com.bd/companies/50/novus-pharmaceuticals-ltd/brands,20,25
Nutrilife Pharma,https://medex.com.bd/companies/422/nutrilife-pharma/brands,1,1
Nuvista Pharma Ltd.,https://medex.com.bd/companies/122/nuvista-pharma-ltd,98,145
One Pharma Ltd.,https://medex.com.bd/companies/207/one-pharma-ltd/brands,72,127
Opsonin Herbal & Nutraceuticals Ltd.,https://medex.com.bd/companies/384/opsonin-herbal-nutraceuticals-ltd/brands,20,23
Opsonin Pharma Ltd.,https://medex.com.bd/companies/56/opsonin-pharma-ltd,537,1082
Organic Herbal & Nutraceuticals Ltd.,https://medex.com.bd/companies/567/organic-herbal-nutraceuticals-ltd/brands,1,1
Orion Infusion Ltd.,https://medex.com.bd/companies/173/orion-infusion-ltd/brands,18,26
Orion Pharma Ltd.,https://medex.com.bd/companies/58/orion-pharma-ltd,149,264
OSL Pharma Limited,https://medex.com.bd/companies/55/osl-pharma-limited/brands,143,234
Oyster Pharmaceuticals Ltd.,https://medex.com.bd/companies/118/oyster-pharmaceuticals-ltd/brands,9,10
Pacific Pharmaceuticals Ltd.,https://medex.com.bd/companies/145/pacific-pharmaceuticals-ltd/brands,164,275
Peoples Pharma Ltd.,https://medex.com.bd/companies/59/peoples-pharma-ltd/brands,24,31
Pfizer,https://medex.com.bd/companies/175/pfizer/brands,1,1
Pharmacil Limited,https://medex.com.bd/companies/195/pharmacil-limited/brands,8,15
Pharmadesh Laboratories Ltd.,https://medex.com.bd/companies/60/pharmadesh-laboratories-ltd/brands,92,139
Pharmasia Limited,https://medex.com.bd/companies/112/pharmasia-limited,91,161
Pharmik Laboratories Ltd.,https://medex.com.bd/companies/202/pharmik-laboratories-ltd/brands,81,100
Physic pharmaceuticals ltd.,https://medex.com.bd/companies/527/physic-pharmaceuticals-ltd/brands,14,24
Popular Pharmaceuticals Ltd.,https://medex.com.bd/companies/87/popular-pharmaceuticals-ltd,338,554
Premier Pharmaceuticals Ltd.,https://medex.com.bd/companies/201/premier-pharmaceuticals-ltd/brands,32,39
Prime Pharmaceuticals Ltd.,https://medex.com.bd/companies/88/prime-pharmaceuticals-ltd/brands,13,14
Pristine Pharmaceuticals Ltd,https://medex.com.bd/companies/391/pristine-pharmaceuticals-ltd/brands,42,57
Purnava Limited,https://medex.com.bd/companies/280/purnava-limited/brands,19,29
Quality Pharmaceuticals Ltd.,https://medex.com.bd/companies/253/quality-pharmaceuticals-ltd/brands,6,6
Radiant Export Import Enterprise,https://medex.com.bd/companies/465/radiant-export-import-enterprise/brands,1,6
Radiant Nutraceuticals Ltd.,https://medex.com.bd/companies/331/radiant-nutraceuticals-ltd/brands,32,37
Radiant Pharmaceuticals Ltd.,https://medex.com.bd/companies/62/radiant-pharmaceuticals-ltd,142,244
Radius Pharmaceuticals Ltd.,https://medex.com.bd/companies/342/radius-pharmaceuticals-ltd/brands,12,12
Rangs Pharmaceuticals Ltd.,https://medex.com.bd/companies/147/rangs-pharmaceuticals-ltd/brands,75,138
Reckitt & Benckiser Ltd.,https://medex.com.bd/companies/161/reckitt-benckiser-ltd/brands,5,7
Reliance Pharmaceuticals Ltd.,https://medex.com.bd/companies/130/reliance-pharmaceuticals-ltd/brands,32,42
Reman Drug Laboratories Ltd.,https://medex.com.bd/companies/63/reman-drug-laboratories-ltd/brands,66,86
Remark HB Limited (Remark LLC.),https://medex.com.bd/companies/546/remark-hb-limited-remark-llc/brands,1,28
Renata PLC,https://medex.com.bd/companies/64/renata-plc,342,664
Rephco Pharmaceuticals Ltd.,https://medex.com.bd/companies/66/rephco-pharmaceuticals-ltd/brands,93,142
River Pharma,https://medex.com.bd/companies/338/river-pharma/brands,2,2
RN Pharmaceuticals,https://medex.com.bd/companies/259/rn-pharmaceuticals/brands,7,7
Roche Bangladesh Ltd.,https://medex.com.bd/companies/67/roche-bangladesh-ltd,21,30
Royal Pharmaceutical Ltd.,https://medex.com.bd/companies/335/royal-pharmaceutical-ltd/brands,8,8
S.N. Pharmaceutical Ltd.,https://medex.com.bd/companies/135/sn-pharmaceutical-ltd/brands,16,18
Salton Pharmaceuticals Ltd.,https://medex.com.bd/companies/68/salton-pharmaceuticals-ltd/brands,35,39
SANDOZ (A Novartis Division),https://medex.com.bd/companies/168/sandoz-a-novartis-division/brands,64,100
Save Pharmaceuticals Ltd.,https://medex.com.bd/companies/487/save-pharmaceuticals-ltd/brands,10,14
SB Laboratories Ltd.,https://medex.com.bd/companies/562/sb-laboratories-ltd/brands,12,16
Seema Pharmaceuticals Ltd.,https://medex.com.bd/companies/69/seema-pharmaceuticals-ltd/brands,45,64
SEKO Laboratories (Unani),https://medex.com.bd/companies/484/seko-laboratories-unani/brands,2,2
Servier Bangladesh Operation,https://medex.com.bd/companies/172/servier-bangladesh-operation,8,12
Sharif Pharmaceuticals Ltd.,https://medex.com.bd/companies/90/sharif-pharmaceuticals-ltd/brands,96,155
SHINIL Pharma Limited,https://medex.com.bd/companies/466/shinil-pharma-limited/brands,0,0
Shuvro Limited,https://medex.com.bd/companies/430/shuvro-limited/brands,1,2
Silco Pharmaceutical Ltd.,https://medex.com.bd/companies/159/silco-pharmaceutical-ltd/brands,68,102
Silva Pharmaceuticals Ltd.,https://medex.com.bd/companies/94/silva-pharmaceuticals-ltd/brands,78,126
Skylab Pharmaceuticals Ltd.,https://medex.com.bd/companies/70/skylab-pharmaceuticals-ltd/brands,12,18
